DateTime,SolarBusC
2020-01-01T00:00:00.0,0.0
2020-01-01T00:00:06.0,-0.0
2020-01-01T00:00:12.0,-0.0
2020-01-01T00:00:18.0,-0.0
2020-01-01T00:00:24.0,-0.0
2020-01-01T00:00:30.0,-0.0
2020-01-01T00:00:36.0,0.0
2020-01-01T00:00:42.0,0.0
2020-01-01T00:00:48.0,-0.0
2020-01-01T00:00:54.0,-0.0
2020-01-01T00:01:00.0,0.0
2020-01-01T00:01:06.0,0.0
2020-01-01T00:01:12.0,-0.0
2020-01-01T00:01:18.0,0.0
2020-01-01T00:01:24.0,-0.0
2020-01-01T00:01:30.0,-0.0
2020-01-01T00:01:36.0,0.0
2020-01-01T00:01:42.0,0.0
2020-01-01T00:01:48.0,-0.0
2020-01-01T00:01:54.0,0.0
2020-01-01T00:02:00.0,-0.0
2020-01-01T00:02:06.0,0.0
2020-01-01T00:02:12.0,-0.0
2020-01-01T00:02:18.0,-0.0
2020-01-01T00:02:24.0,-0.0
2020-01-01T00:02:30.0,0.0
2020-01-01T00:02:36.0,0.0
2020-01-01T00:02:42.0,-0.0
2020-01-01T00:02:48.0,0.0
2020-01-01T00:02:54.0,-0.0
2020-01-01T00:03:00.0,0.0
2020-01-01T00:03:06.0,0.0
2020-01-01T00:03:12.0,-0.0
2020-01-01T00:03:18.0,0.0
2020-01-01T00:03:24.0,0.0
2020-01-01T00:03:30.0,-0.0
2020-01-01T00:03:36.0,-0.0
2020-01-01T00:03:42.0,0.0
2020-01-01T00:03:48.0,-0.0
2020-01-01T00:03:54.0,0.0
2020-01-01T00:04:00.0,0.0
2020-01-01T00:04:06.0,0.0
2020-01-01T00:04:12.0,-0.0
2020-01-01T00:04:18.0,0.0
2020-01-01T00:04:24.0,-0.0
2020-01-01T00:04:30.0,-0.0
2020-01-01T00:04:36.0,0.0
2020-01-01T00:04:42.0,-0.0
2020-01-01T00:04:48.0,0.0
2020-01-01T00:04:54.0,0.0
2020-01-01T00:05:00.0,-0.0
2020-01-01T00:05:06.0,-0.0
2020-01-01T00:05:12.0,0.0
2020-01-01T00:05:18.0,0.0
2020-01-01T00:05:24.0,0.0
2020-01-01T00:05:30.0,0.0
2020-01-01T00:05:36.0,-0.0
2020-01-01T00:05:42.0,-0.0
2020-01-01T00:05:48.0,0.0
2020-01-01T00:05:54.0,0.0
2020-01-01T00:06:00.0,0.0
2020-01-01T00:06:06.0,0.0
2020-01-01T00:06:12.0,-0.0
2020-01-01T00:06:18.0,-0.0
